Total potential Indonesian titles found: 135
L  17 | dei_focus_a_tkr                        | Form the Tentara Keamanan Rakyat                   | matched: ['rakyat']
L  57 | dei_focus_c_root                       | Consolidate the Front Rakyat                       | matched: ['rakyat']
L  63 | dei_focus_c_tentara_rakyat             | Form the Tentara Rakyat                            | matched: ['rakyat']
L  95 | dei_focus_e_dewan_ulama                | Establish the Dewan Ulama                          | matched: ['dewan']
L 115 | dei_focus_f_dewan_adat                 | Form the Dewan Adat Nusantara                      | matched: ['dewan']
L 160 | dei_idea_guerrilla_doctrine            | Doctrine of Perang Gerilya                         | matched: ['gerilya']
L 170 | dei_idea_dewan_adat_terbentuk          | Dewan Adat Established                             | matched: ['dewan']
L 181 | dei_trunk.2.a                          | Distribute armaments to the fledgling Laskar Rakyat | matched: ['rakyat']
L 216 | dei_trunk.603.d                        | Rejecting secular modernity and colonial compromises, deep spiritual currents surge across the islands. Shall we establish an Islamic State guided by the Ulama and Sharia law under Kartosoewirjo, or awaken the ancient majesty of the Kemaharajaan Majapahit to fulfill the sacred Sumpah Palapa? | matched: ['sumpah', 'palapa']
L 232 | dei_path_a.2.t                         | Forming the Tentara Keamanan Rakyat                | matched: ['rakyat']
L 307 | dei_path_c.1.t                         | Triumph of the Front Rakyat                        | matched: ['rakyat']
L 331 | dei_path_c.6.d                         | Forging fraternal solidarity with Beijing, committing to anti-imperialist struggle across the Asian mainland. | matched: ['anti']
L 392 | dei_path_e.5.t                         | Alliance with the Muslim World                     | matched: ['muslim']
L 405 | dei_path_e.8.d                         | A grand congress in Batavia welcomes Muslim leaders from across Malaya, Borneo, and Mindanao. | matched: ['muslim']
L 428 | dei_path_f.5.t                         | The Dewan Adat Nusantara Convenes                  | matched: ['dewan']
L 436 | dei_path_f.7.t                         | Enforcing the Sumpah Palapa                        | matched: ['sumpah', 'palapa']
L 515 | dei_mechanic_sishanrata                | Proclaim Sistem Pertahanan Rakyat Semesta (Sishanrata) | matched: ['sistem', 'rakyat', 'semesta']
L 527 | dei_idea_sishanrata_active             | Sistem Pertahanan Rakyat Semesta                   | matched: ['sistem', 'rakyat', 'semesta']
L 559 | trait_dei_sudirman                     | Bapak TNI & Maestro Gerilya                        | matched: ['gerilya']
L 561 | trait_dei_urip                         | Arsitek Angkatan Bersenjata                        | matched: ['angkatan']
L 567 | trait_dei_yos_sudarso                  | Macan Laut Kepulauan                               | matched: ['laut']
